model,anomaly_type,severity,n,recall
gru,course_deviation,all,10,0.2000
gru,u_turn,all,10,0.8000
gru,speed_drop,all,10,0.6000
gru,speed_surge,all,10,0.5000
gru,loitering,all,10,0.3000
gru,position_jump,all,10,0.1000
tcn,course_deviation,all,10,0.1000
tcn,u_turn,all,10,0.8000
tcn,speed_drop,all,10,0.6000
tcn,speed_surge,all,10,0.6000
tcn,loitering,all,10,0.4000
tcn,position_jump,all,10,0.1000
transformer,course_deviation,all,10,0.3000
transformer,u_turn,all,10,0.8000
transformer,speed_drop,all,10,0.6000
transformer,speed_surge,all,10,0.6000
transformer,loitering,all,10,0.4000
transformer,position_jump,all,10,0.1000
transformer_6m,course_deviation,all,10,0.4000
transformer_6m,u_turn,all,10,0.9000
transformer_6m,speed_drop,all,10,0.9000
transformer_6m,speed_surge,all,10,0.6000
transformer_6m,loitering,all,10,0.5000
transformer_6m,position_jump,all,10,0.1000
transformer_6m,course_deviation,30.0,4,0.2500
transformer_6m,course_deviation,45.0,2,1.0000
transformer_6m,course_deviation,60.0,1,0.0000
transformer_6m,course_deviation,90.0,3,0.3333
transformer_6m,u_turn,120.0,2,1.0000
transformer_6m,u_turn,150.0,5,0.8000
transformer_6m,u_turn,180.0,3,1.0000
transformer_6m,speed_drop,0.5,1,1.0000
transformer_6m,speed_drop,0.25,1,1.0000
transformer_6m,speed_drop,0.10000000149011612,3,1.0000
transformer_6m,speed_drop,0.0,5,0.8000
transformer_6m,speed_surge,1.5,4,0.0000
transformer_6m,speed_surge,2.0,3,1.0000
transformer_6m,speed_surge,3.0,1,1.0000
transformer_6m,speed_surge,4.0,2,1.0000
transformer_6m,loitering,4.0,5,0.2000
transformer_6m,loitering,8.0,5,0.8000
transformer_6m,position_jump,1.0,5,0.0000
transformer_6m,position_jump,2.0,3,0.0000
transformer_6m,position_jump,5.0,2,0.5000
